Ref,Val,Package,PosX,PosY,Rot,Side
"U1","0986AH0304","0986AH0304",94.484000,-126.834000,-90.000000,top
"U2","0986AH0304","0986AH0304",94.484000,-110.242000,-90.000000,top
"U3","0986AH0304","0986AH0304",94.488000,-93.732000,-90.000000,top
"U4","0986AH0304","0986AH0304",94.484000,-77.304000,-90.000000,top
"U5","0986AH0304","0986AH0304",129.838000,-69.348000,90.000000,top
"U6","0986AH0304","0986AH0304",165.292500,-69.348000,90.000000,top
"U7","0986AH0304","0986AH0304",200.660000,-69.348000,90.000000,top
"U8","0986AH0304","0986AH0304",236.982000,-69.348000,90.000000,top
"U9","0986AH0304","0986AH0304",129.794000,-117.608000,90.000000,top
"U10","0986AH0304","0986AH0304",165.354000,-117.608000,90.000000,top
"U11","0986AH0304","0986AH0304",200.660000,-117.608000,90.000000,top
"U12","0986AH0304","0986AH0304",236.982000,-117.608000,90.000000,top
